id,dia,reef,site,transect,observer,team,night,depth,hc,habitat
450,32,Rudder,4,1,HS/IM,1,0,1,42,flat
451,32,Rudder,4,1,HS/IM,1,0,1,42,flat
453,35,Rudder,4,1,HS/IM,1,0,1,42,flat
454,32,Rudder,4,1,HS/IM,1,0,1,42,flat
4108,30,Rudder,4,1,HS/IM,1,0,1,42,flat
36,23,Rudder,4,3,HS/IM,1,0,1,42,flat
37,40,Rudder,4,3,HS/IM,1,0,1,42,flat
38,38,Rudder,4,3,HS/IM,1,0,1,42,flat
105,30,Rudder,4,3,HS/IM,1,0,1,42,flat
441,32,Rudder,4,3,HS/IM,1,0,1,42,flat
442,35,Rudder,4,3,HS/IM,1,0,1,42,flat
445,30,Rudder,4,3,HS/IM,1,0,1,42,flat
446,33,Rudder,4,3,HS/IM,1,0,1,42,flat
447,32,Rudder,4,3,HS/IM,1,0,1,42,flat
448,35,Rudder,4,3,HS/IM,1,0,1,42,flat
449,33,Rudder,4,3,HS/IM,1,0,1,42,flat
450,32,Rudder,4,3,HS/IM,1,0,1,42,flat
451,32,Rudder,4,3,HS/IM,1,0,1,42,flat
454,32,Rudder,4,3,HS/IM,1,0,1,42,flat
460,30,Rudder,4,3,HS/IM,1,0,1,42,flat
470,-999,Rudder,4,3,HS/IM,1,0,1,42,flat
4108,30,Rudder,4,3,HS/IM,1,0,1,42,flat
11,30,Rudder,4,6,HS/IM,1,1,1,42,flat
36,23,Rudder,4,6,HS/IM,1,1,1,42,flat
37,40,Rudder,4,6,HS/IM,1,1,1,42,flat
38,38,Rudder,4,6,HS/IM,1,1,1,42,flat
105,30,Rudder,4,6,HS/IM,1,1,1,42,flat
441,32,Rudder,4,6,HS/IM,1,1,1,42,flat
442,35,Rudder,4,6,HS/IM,1,1,1,42,flat
445,30,Rudder,4,6,HS/IM,1,1,1,42,flat
447,32,Rudder,4,6,HS/IM,1,1,1,42,flat
448,35,Rudder,4,6,HS/IM,1,1,1,42,flat
449,33,Rudder,4,6,HS/IM,1,1,1,42,flat
450,32,Rudder,4,6,HS/IM,1,1,1,42,flat
454,32,Rudder,4,6,HS/IM,1,1,1,42,flat
460,30,Rudder,4,6,HS/IM,1,1,1,42,flat
488,40,Rudder,4,6,HS/IM,1,1,1,42,flat
4108,30,Rudder,4,6,HS/IM,1,1,1,42,flat
750,35,Rudder,5,1,HS/IM,1,0,2,24,flat
751,35,Rudder,5,1,HS/IM,1,0,2,24,flat
752,35,Rudder,5,1,HS/IM,1,0,2,24,flat
753,30,Rudder,5,1,HS/IM,1,0,2,24,flat
754,35,Rudder,5,1,HS/IM,1,0,2,24,flat
755,35,Rudder,5,1,HS/IM,1,0,2,24,flat
756,35,Rudder,5,1,HS/IM,1,0,2,24,flat
757,35,Rudder,5,1,HS/IM,1,0,2,24,flat
758,40,Rudder,5,1,HS/IM,1,0,2,24,flat
759,30,Rudder,5,1,HS/IM,1,0,2,24,flat
750,35,Rudder,5,4,HS/IM,1,0,2,24,flat
751,35,Rudder,5,4,HS/IM,1,0,2,24,flat
753,30,Rudder,5,4,HS/IM,1,0,2,24,flat
754,35,Rudder,5,4,HS/IM,1,0,2,24,flat
755,35,Rudder,5,4,HS/IM,1,0,2,24,flat
756,35,Rudder,5,4,HS/IM,1,0,2,24,flat
757,35,Rudder,5,4,HS/IM,1,0,2,24,flat
758,40,Rudder,5,4,HS/IM,1,0,2,24,flat
759,30,Rudder,5,4,HS/IM,1,0,2,24,flat
1,30,Undine,1,2,HS/IM,1,0,2,32,lagoon
3,35,Undine,1,2,HS/IM,1,0,2,32,lagoon
4,35,Undine,1,2,HS/IM,1,0,2,32,lagoon
5,30,Undine,1,2,HS/IM,1,0,2,32,lagoon
7,30,Undine,1,2,HS/IM,1,0,2,32,lagoon
8,25,Undine,1,2,HS/IM,1,0,2,32,lagoon
9,30,Undine,1,2,HS/IM,1,0,2,32,lagoon
10,30,Undine,1,2,HS/IM,1,0,2,32,lagoon
1,30,Undine,1,5,HS/IM,1,0,2,32,lagoon
3,35,Undine,1,5,HS/IM,1,0,2,32,lagoon
4,35,Undine,1,5,HS/IM,1,0,2,32,lagoon
5,30,Undine,1,5,HS/IM,1,0,2,32,lagoon
6,30,Undine,1,5,HS/IM,1,0,2,32,lagoon
8,25,Undine,1,5,HS/IM,1,0,2,32,lagoon
9,30,Undine,1,5,HS/IM,1,0,2,32,lagoon
10,30,Undine,1,5,HS/IM,1,0,2,32,lagoon
11,35,Undine,2,1,HS/IM,1,0,3,24,lagoon
